text,Trump,Biden,West,HOF
"The intolerant left supporting #Biden are responsible for daily violence around the country, defunding the police and now 100 days of #Riots2020 in Portland.[NEWLINE][NEWLINE]#VoteRED2020RemoveEveryDemocrat #LawAndOrder #DefendPolice #MAGA #Trump2020 https://t.co/weu4sSnfLs",4.0,1.0,0.0,Non-Hateful
Joe Biden DID say SUPER PREDATORS! https://t.co/nysBSqoUie,0.0,1.0,0.0,Non-Hateful
"I am lovin’ all these speeches of TRUTH. Joe, Barack, Kamala, THE GOOD GUYS. The JEDI KNIGHTS! [NEWLINE][NEWLINE]Defeat the TWITTER TROLL TRUMP occupying the White House and save us all from his toxic bile. Block him with a vote for Biden-Harris. https://t.co/jAWgH8z0l7",1.0,4.0,0.0,Non-Hateful
@Manny_Funes @realDonaldTrump @JoeBiden 👋 My first vote was for Reagan. @realDonaldTrump is no Republican. #Biden2020,1.0,4.0,0.0,Non-Hateful
Amen President Trump.  We will Never Live Our Lives In Fear!!! #TrumpCovid19 #Trump2020 @realDonaldTrump https://t.co/BOKGodgrWL,4.0,0.0,0.0,Non-Hateful
@GOPChairwoman Oh please...he's just upset that zoom has a mute button. [NEWLINE][NEWLINE]Crybaby Trump,1.0,0.0,0.0,Hateful
@BonkersBrat @jerryImassey I know I agree entirely. He said greatest president and i wanted to know why.,0.0,0.0,0.0,Non-Hateful
"@realDonaldTrump First, you did not win the debate. You were unhinged, disrespectful &amp; a clown. Second, go ahead, cop out, you will be doing us all a big favor. November 3rd cannot come fast enough! #BidenHarris2020",1.0,4.0,0.0,Non-Hateful
Joe Biden is an Imbecile. He doesn’t deserve to be President. We all know what happens if he wins. He will be found incompetent to serve. Kamala Harris will become President. Nancy Pelosi (if the dems retain the house) will be Vice President. And this country will go to hell.,0.0,1.0,0.0,Hateful
#TrumpTaxReturns THIS IS SOME BULLSHIT! #VoteBidenHarris2020 #VoteBlue2020 https://t.co/NYw4q7TNRM,1.0,4.0,0.0,Hateful
"Looks like that even CNN has grown tired of ""No Answer Biden"". Cannot get a square answer even from his spokes people on ""Packing The Court"". Time has come one would hope that these Liberals will not from their hatred for Trump ""Give Up America"". Lose something never to recover.",2.0,1.0,0.0,Non-Hateful
@mama_c2 @KazePlays_JC I’m raising my glass of bubbly in toast to our newly elected President and Vice  President. Congrats Joe Biden and Kamala Harris!!! [NEWLINE]💙🍾🥂🇺🇸 https://t.co/ED3bqXhSZB,0.0,4.0,0.0,Non-Hateful
"@steve_vladeck So Joe Biden and Kamala Harris were not on the bus, but it was part of the campaign. This is why Congress needs to declare war against any foreign or domestic interference upon our elections.",0.0,2.0,0.0,Non-Hateful
Forget about that “lack of enthusiasm” BS. 👇🏻👇🏻👇🏻👇🏻👇🏻[NEWLINE]#BidenHarris2020 https://t.co/zKJXHItA8q,0.0,4.0,0.0,Hateful
"Hey @JoeBiden, when you are president, will u nominate @MichelleObama to the Supreme Court? I think that would be amazing. #supremecourt #BidenHarris2020",0.0,4.0,0.0,Non-Hateful
"I wonder how many babies were made last night? And all of them will be Jo, Joe, Joey, Kamala. 🤷🏻‍♀️ #ElectionResults2020 #BidenHarris2020 https://t.co/XNbuXhXj0n",0.0,2.0,0.0,Non-Hateful
@DouglasEmhoff @JoeBiden @KamalaHarris I WILL VOTE IN PERSONFOR PRESIDENT TRUMP NOT FOR IGNORANT JOE DUHHH AND LAUGHING KAMALA NOT AFRICAN AMERICAN SHES A LIAR TOO,4.0,1.0,0.0,Non-Hateful
"The difference between the economic plans of Joe Biden &amp; Trump are stark [NEWLINE][NEWLINE]1. Biden wants to rebuild America , understands creating jobs through infrastructure building is key &amp; that the Govt has to do the heavy lifting [NEWLINE][NEWLINE]2. #TrumpHasNoPlan [NEWLINE][NEWLINE]#VoteBlue[NEWLINE]#wtpBiden[NEWLINE]#wtpBlue [NEWLINE]#ONEV1 https://t.co/Ldo7fCFUj4",1.0,4.0,0.0,Non-Hateful
"""Hi, I'm just calling to let you know that Joe Biden and Kamala Harris will throw you in prison if you own guns they don't like. Or if you do drugs. And they'll keep the wars going. But they're nicer on Twitter, so there's that."" https://t.co/lHYVGBO9ox",0.0,1.0,0.0,Non-Hateful
The murky waters are clearing. We can see the Chinese Communist Government is the radical lefts dream. Throw in a little US Secret Neuro Wepons for the Conservatives. DREAM COMPLETE #MAGA2020 F them up.,4.0,0.0,0.0,Hateful
"Time to move on and focus on the debt, the tax fraud, the lies and follow the money. Who does Trump owe $420MM to? Why won’t Trump condemn Putin ever?[NEWLINE]#TrumpHasNoPlan #TrumpLies #TrumpTaxFraud #TrumpVirusCatastrophe #DumpTrump2020 #VOTE #BidenHarris2020 https://t.co/V3lSBMI0HE",1.0,4.0,0.0,Non-Hateful
84/ Increase funding for the Minority Business Development Agency budget[NEWLINE][NEWLINE]85/ Make sure economic relief because of #COVID19 reaches #BlackBusiness that need it most[NEWLINE][NEWLINE]86/ Reserve half of all the new #PPP funds for #SmallBusinesses with 50 employees or less[NEWLINE][NEWLINE]#BidenHarris2020 https://t.co/Pf2drNI402,0.0,4.0,0.0,Non-Hateful
@sibbykirch Yay! Voted today! #BidenHarris2020,0.0,4.0,0.0,Non-Hateful
JUST GOT MY BALLOT and I can't friggen wait to #EndthisNightmare by voting #BidenHarris2020. For our country. For the planet. For ALL the people!,1.0,4.0,0.0,Non-Hateful
🚨🚨🚨🚨🚨🚨🚨[NEWLINE]OMG OMG OMG OMG OMG! [NEWLINE][NEWLINE]I just spotted the first #BidenHarris2020 yard sign in my street.[NEWLINE][NEWLINE]My street is a mile and a half and I live at the end of it.[NEWLINE][NEWLINE]Now there’s Two Biden/Harris signs amongst sea of the other guys signs.[NEWLINE][NEWLINE]OMG OMG OMG OMG OMG![NEWLINE]🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨,0.0,4.0,0.0,Non-Hateful
"@FPWellman His comments about service persons kissing Hicks were creepy and inappropriate.  He, however, could have been telegraphing a truth inasmuch Trump and Hicks allegedly were very close, and he very well may have been the kissing bandit in question.  #BidenHarris2020",1.0,4.0,0.0,Non-Hateful
"First ICE in TX, now ICE in GA accused of performing unwanted/unauthorized ""medical procedures"" on immigrant women.[NEWLINE]Why do we say #BlackLivesMatter? Because ALL lives WILL matter when Black lives matter.[NEWLINE]Joe Biden is a decent man. He will put a stop to this! #CountOnUs #Biden2020 https://t.co/H9WJInvYSQ",0.0,4.0,0.0,Non-Hateful
If i ever said i’m from staten island... no i didn’t #BidenHarris2020 #COVIDIOTS https://t.co/7FG009vsHb,0.0,4.0,0.0,Hateful
"@gold_dust_lady Teachers 100% deserve to be paid more than they are, drug abusers do not belong in prison, and the student loan crisis needs to be addressed. However, Kamala Harris bragged about her mass incarceration towards marijuana users, and Joe Biden has never been for the LGBTQ+ community",0.0,1.0,0.0,Non-Hateful
#Trump2020 [NEWLINE][NEWLINE]My state isn't allowing in person voting this year.... This is appalling.,4.0,0.0,0.0,Non-Hateful
"@TonyBrunoShow @HillaryClinton so when joe steps down due to “health” kamala is pres &amp; she chooses hillary as VP, kamala succumbs to “covid” hillary president dec 2021!!!! @OldTakesExposed",0.0,2.0,0.0,Non-Hateful
#BallotHarvesting[NEWLINE]#Maine[NEWLINE]#Ruling[NEWLINE]#Texas[NEWLINE]#Winning[NEWLINE]#Trump2020 [NEWLINE]TWO HUGE COURT RULINGS for GOP! [NEWLINE]Maine Blocks Illegal Democrat Ballot Harvesting – Texas Blocks Straight Party Ballot Option[NEWLINE]https://t.co/NILaKDk5M9,4.0,0.0,0.0,Non-Hateful
@ForeverPoverty @sahilkapur @thereidout Impeachment hoax? Stop it. The man deserved that impeachment and many others. Recounts have never overturned anything. It is President Joe Biden and Vice President Kamala Harris. #freeatlast #GetOutTrump #duecestrump,1.0,4.0,0.0,Non-Hateful
Joe Biden just got a huge slap in the face by this black celebrity dropping a truth bomb https://t.co/RMkjGiSTpD,0.0,2.0,0.0,Non-Hateful
Joe Biden and Kamala hoarse have cede time and time again that they wand to BAN fracking. [NEWLINE] Check it out for yourself: [NEWLINE]Original tweet from @Mike_Pence,2.0,1.0,0.0,Non-Hateful
33 million unemployed? Each of those 33 million should be sending Covita an eviction notice. #BidenHarris2020 #VoteHimOut,1.0,4.0,0.0,Non-Hateful
@gtconway3d @JoeBiden @realDonaldTrump The most important thing to me was the love &amp; support he showed for his son Hunter. #addiction is a game changer &amp; no one should ever be allowed to mock a person in recovery. My mind was made up before the debate but now I’m convinced #BidenHarris2020 is the answer 💙🇺🇸🗳,1.0,4.0,0.0,Non-Hateful
"NEW VIDEO: ""If Donald Trump is re-elected, all the progress we've made will be in jeopardy. The future of our Democracy is at stake. The future of our economy is at stake. The future of our planet is at stake. We must come together to defeat Trump &amp; elect Biden."" #ListenToBernie https://t.co/vwR88yBwfy",2.0,2.0,0.0,Non-Hateful
Change is Coming If You VOTE | Joe Biden and Kamala Harris 2020 https://t.co/zQQ4CQ3Xmm via @YouTube change to be made and Trump needs to go,1.0,2.0,0.0,Non-Hateful
@JesseRodriguez @IntelCrab @carolelee @MSNBC Simpson's has become a Taboo these days for #Trump2020,2.0,0.0,0.0,Non-Hateful
@RawStory With malice toward none; with charity for all. This can be the UNITED States of American #BidenHarris2020,0.0,4.0,0.0,Non-Hateful
@ananavarro @JudiciaryGOP Joe Biden does not have the strength or the mental capacity to campaign how is it going to run this country Kamala Harris will take over and do you want her as your next president ask yourself that question,0.0,1.0,0.0,Non-Hateful
"@CharleneforAZ @JoeBiden No, you mean you have Harris’ back!",0.0,1.0,0.0,Non-Hateful
"@nancybknits @SenBlumenthal Not gonna happen. The Senate will do what they can, and are allowed to do, to confirm. Too bad so sad. Besides, why delay the inevitable... #TRUMP2020.",4.0,0.0,0.0,Non-Hateful
James Corden Parodies Trump’s Coronavirus Diagnosis With ‘Maybe I’m Immune’ Song https://t.co/Fr1CTKIkQC via @variety,2.0,0.0,0.0,Non-Hateful
"“Ben Crump, a lawyer for the family, wrote on Twitter that the failure to charge any officer for killing Ms. Taylor was ‘outrageous and offensive.’”[NEWLINE]#PoliceBrutality #BreonnaTaylor #MurderUnderColorOfLaw  #BidenHarris2020 #VoteBlue2020  https://t.co/Hekq9lUBeL",0.0,4.0,0.0,Non-Hateful
"POTUS  is at work while hospitalized, fighting🥊 for Americans #UnitedWeStand #DividedWeFall  Will Congress get it done? 🤔 #Trump2020 #MAGA2020 https://t.co/GpcWPeBQ7y https://t.co/KqSQIG9TEC",4.0,0.0,0.0,Non-Hateful
Got my #Trump2020 swag in today!!!!!! So excited! https://t.co/OgJdn6tgp3,4.0,0.0,0.0,Non-Hateful
Ballot Marked Joe Biden Kamala Harris Join Us Vote Women are on the Ballot https://t.co/zr8GoYfNMd,0.0,2.0,0.0,Non-Hateful
"@seanhannity Love all these race baiters.  YOU are the problem with this country.  Slow Joe the racist of all racists is not only a race baiter, he is the master baiter of all the race baiters.  #TRUMP2020 #PENCE2024 #PENCE2028.",4.0,1.0,0.0,Non-Hateful
@realDonaldTrump STOP LYING! YOU are just saying this crap 2get re-elected again😡😡😡 . Your time is UP!! Hit the door&amp; get steppin! Biden will be our honorable great new President!! His middle toe has MORE decency than your whole EXISTENCE! #VOTETRUMPOUT #BidenHarris2020 #joebiden #kamalaharris,1.0,4.0,0.0,Non-Hateful
I love what this priest has to say.       WATCH: Courageous Priest Speaks The TRUTH About Joe Biden and Kamala Harris https://t.co/ifIGey5PBb,0.0,1.0,0.0,Non-Hateful
@JoeBiden @realDonaldTrump And your point? You wouldn't have been able to stop it either #Trump2020,4.0,2.0,0.0,Non-Hateful
"@ThAlMeArCrEq @JJCopes @fuzzytoad @mamberg1 @DANNYCARLINO @JoeConchaTV So, what do you think Trump fixed about this law?",2.0,0.0,0.0,Non-Hateful
Voted today! Please find the time and vote. #vote #BidenHarris2020 https://t.co/XRSDW0rJJq,0.0,4.0,0.0,Non-Hateful
#LyingBiden busted again #BidenHarris2020 https://t.co/cI9OvpGAuZ,0.0,1.0,0.0,Non-Hateful
@TwitterMoments Come for the fascism and stay for the coronavirus. Please if you are a Trump voter in Florida come on out to his rally. I hope that you get sick enough to not be able to make it to vote on election day,1.0,0.0,0.0,Non-Hateful
"@johncusack My girlfriend has difficulty walking and standing, due to MS. She found the strength to stand in line for almost an hour to cast her vote for Joe Biden and Kamala Harris yesterday. #bluewave",0.0,4.0,0.0,Non-Hateful
We are the strongest nation under God what is the strength we should show its love so we should have for our Allies we must believe and show them that the world wants peace any only way we can get that he is by voting for Joe Biden and Kamala Harris they will make a difference,0.0,4.0,0.0,Non-Hateful
"Ok, here's a better one. I trimmed up the bushes (no trimming while tweeting, dat's dangerous) &amp; swept the porch. #BidenHarris2020 #VPDebate2020 https://t.co/5JIn9fb4xO https://t.co/NkyHJLtvT9",0.0,4.0,0.0,Non-Hateful
@tctess2 @KamalaHarris Wow and wow. Your cousin's daughter will be in the box seat watching as Kamala Harris (😍) and Joe Biden take America with them back to a great place of respect.[NEWLINE][NEWLINE]Congrats.,0.0,4.0,0.0,Non-Hateful
@Mike_Pence was talking soo much shit that there were literally flys over him 👽,1.0,0.0,0.0,Hateful
Lavish spending sprees by the Biden's using a chinese credit card. Multiple flights to china with suspicious timing. Millions taken from Russians. Business dealings w the Chinese communists. You really want to vote #Biden2020 for more of this!?[NEWLINE][NEWLINE]#Trump2020 #MAGA[NEWLINE]🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,4.0,1.0,0.0,Non-Hateful
@SpeakerPelosi The reality on YOUR ground is different than the reality on everyone else’s ground! #MAGA2020,4.0,0.0,0.0,Non-Hateful
"Remember Patriots ""The only thing necessary for the triumph of evil is for good men and women to do nothing."" [NEWLINE]We need to stand by our president @realDonaldTrump and march head high to the finish line! We will prevail!!! #MAGA2020 #Trump2020 #TrumpTrain2020 #DrainTheSwamp",4.0,0.0,0.0,Non-Hateful
Any of my fellow Patriots or Warcraft players ever just feel like knocking back a cold one? I'm not much of a drinker - but it's nice being able to knock one back... just because you can. No restrictions. That's what being free is all about. #Shadowlands #Trump2020 https://t.co/huk6yFbyQF,4.0,0.0,0.0,Non-Hateful
Joe Biden just went to cast his vote. I bet he voted for Trump.,2.0,1.0,0.0,Non-Hateful
"Writing postcards to send out this week. #voteblue2020 @ Gilbert, Arizona https://t.co/VwfOTDIjNE",0.0,4.0,0.0,Non-Hateful
anarcha “kamala harris did a good thing for trans people once so that means we should ignore misincarcerating trans women” has some interesting takes on “convincing joe biden of m4a” https://t.co/0H2KR6w69m,0.0,3.0,0.0,Hateful
"@samanthamarika1 We were able to try it before they changed it to Joe Biden! Well, it’s really obvious that Kamala is their president anyway.",0.0,3.0,0.0,Non-Hateful
"We need to invest in K-12 education, raise teacher pay, and provide student loan relief to end the cycle of poverty in this nation.[NEWLINE][NEWLINE]@ColMorrisDavis is committed to invest in that future.[NEWLINE][NEWLINE]#NC11 #DemCastNC #NorthCarolina[NEWLINE]#ProtectPublicEducation #VoteBlue2020 https://t.co/DXP0xZAvDg",0.0,4.0,0.0,Non-Hateful
@JoeBiden No. And if his whiny baby voice wasn't mixed in with yours I'd make your epic shut up man my ring tone. Go Joe! #bidenharris2020,0.0,4.0,0.0,Non-Hateful
"Everyone and I will getting to you all of these blue team Dwill win Joe Biden and Kamala Harris. United States of American, then last USA want on the world map.",0.0,4.0,0.0,Non-Hateful
"Scoop--DNI Ratcliffe strayed from his prepared remarks last week to say publicly that Iran's spoof emails intimidating Dems were aimed at ""damaging President Trump,"" blindsiding FBI Director Wray and CISA Director Chris Krebs who were standing behind him. https://t.co/DNSL7jIbOf",2.0,0.0,0.0,Non-Hateful
"Jeezus, I genuinely cringe every time I hear #Antifa referred to as a 'Far Left' movement, whoever is saying it...[NEWLINE]#TrumpMeltdown #ProudBoys #kkk #MAGA2020 #VoteBlue2020",1.0,4.0,0.0,Non-Hateful
Thank you President Obama ☺. We need Joe Biden and Kamala Harris in the White House. They will fight for our healthcare. https://t.co/2crDzrDQwO,0.0,4.0,0.0,Non-Hateful
"@the_real_mathis @AOC @realDonaldTrump So, back to my original tweet, thank goodness I saw the debate the other night and know NOT to vote for that job-killing anti fracking, oil hating, Joe Biden. I was blinded by Kamala by trump made me see. And Joe is still a racist. https://t.co/3wk36XAaKv",4.0,1.0,0.0,Non-Hateful
@JuddPDeere45 @WhiteHouse @realDonaldTrump But those are all going bye bye under President Kamala ☹️,2.0,1.0,0.0,Non-Hateful
"#blm[NEWLINE]#DefundThePolice [NEWLINE]#maga[NEWLINE]#Trump2020 [NEWLINE]@mad_liberals [NEWLINE]My contributions to the meme universe, how do you spell HYPOCRISY https://t.co/AkaH6PsSRU",2.0,0.0,0.0,Non-Hateful
By FAR! #BidenHarris2020 https://t.co/i1yoAGIFNm,0.0,4.0,0.0,Non-Hateful
"This elect the 🌹 Twitter lie that if we don't go along with then we a bad people is: that Trump refuses to condemn racists, even though he has mult times. Even if we post vid of he constantly doing it they are still goin 2 doubledown. #TrumpIsARacist #Trump2020 #Trump",1.0,0.0,0.0,Non-Hateful
"@KING_in_MEMPHIS Some ppl eventually see the #Truth &amp; fight for #civilrights for ALL. Until then, most are hypocrites &amp; indecent ppl. Selfish. #VotesDOmatter We must join together for the betterment of ALL!!! [NEWLINE][NEWLINE]#VOTE [NEWLINE]#VoteEarly [NEWLINE]#VoteBlueToSaveAmerica [NEWLINE]#BidenHarris2020 https://t.co/C3GTEBmZBk",0.0,4.0,0.0,Non-Hateful
@pulte Except it isn’t private. #BidenHarris2020 #BidenforAmerica,0.0,4.0,0.0,Non-Hateful
