HITId,directness,shock_annotator_sentiment,anger_annotator_sentiment,confusion_annotator_sentiment,sadness_annotator_sentiment,indifference_annotator_sentiment,disgust_annotator_sentiment,fear_annotator_sentiment,race_or_ethnicity,gender,religion,lgbtq,nationality,age,disability,class,none,abuse_level
1914,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2757,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
3084,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
336,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
1503,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2729,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
4197,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5555,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1875,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1418,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5142,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0
1751,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
4898,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3751,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
654,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3661,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
1183,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
231,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
820,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1235,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
2244,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
315,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
95,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2500,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
3308,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1746,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
89,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2204,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
2913,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3840,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
235,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
5362,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1339,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0
3304,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
469,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1338,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
3439,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2840,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3643,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
3344,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2252,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
5184,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
367,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2900,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
970,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
2563,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3042,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3568,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
237,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
3482,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1090,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1462,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
3752,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
5519,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
170,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
49,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
3613,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
604,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1323,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
1136,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2082,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1946,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4217,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
4530,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2301,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3532,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2309,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
2466,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
5222,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4578,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2338,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
746,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
950,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
1711,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
591,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
5353,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
2926,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1488,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2550,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1990,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
570,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
1267,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
2520,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1051,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1658,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
936,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2471,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
2160,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2917,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
2672,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3003,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2334,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3240,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2530,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
274,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
737,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1788,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2163,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
597,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
3584,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4515,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
820,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3439,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2094,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1505,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
3656,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
3175,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
4416,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
496,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
358,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
530,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
401,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2039,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3096,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1744,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4999,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3251,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1914,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3509,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3781,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
4976,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1323,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
3181,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5040,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0
2891,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2761,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4303,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
3813,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0
1965,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
4788,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
1881,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
2500,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2023,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
4126,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
598,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
3056,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2497,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3892,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
2276,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
967,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2385,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
3691,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4007,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
558,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2975,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
1041,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2206,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1654,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
4766,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1608,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
551,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3194,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
4305,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1769,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
3057,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3231,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1254,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3582,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
5457,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2654,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1906,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1136,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
837,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3463,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
418,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2805,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1500,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2404,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
2840,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1449,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1783,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3319,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
4976,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1536,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3049,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2682,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
464,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3455,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
725,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1823,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2900,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4559,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
3835,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3684,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
4883,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2242,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2321,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
568,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3726,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2573,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
2181,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4458,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
3252,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2030,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2658,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2239,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
231,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3004,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
2840,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
1113,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
964,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
697,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2637,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
265,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4294,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
1712,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
3821,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1812,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5097,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1335,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2882,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5161,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2734,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
482,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0
468,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3643,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
225,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1501,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
98,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3047,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2309,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
763,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
2272,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2731,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2301,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3785,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2959,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2223,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3756,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1649,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5349,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3391,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0
620,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3591,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2738,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2242,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2183,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
2366,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3126,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2697,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2380,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
45,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
239,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4311,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
5501,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
3025,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3780,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
36,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
3004,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4766,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3686,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
858,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1244,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
1764,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
2573,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
2025,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3215,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
536,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4639,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
2796,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1782,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3326,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3289,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
3570,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
352,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3772,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
2727,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0
1670,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3061,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
756,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5442,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2992,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
315,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1466,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
2201,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1941,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
449,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5575,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
994,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0
440,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2276,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2593,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
1481,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1123,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1585,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2829,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3928,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5228,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
1540,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1678,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
700,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
3259,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
653,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4911,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5371,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
638,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0
2767,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3285,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
3684,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
956,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
3445,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2496,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
766,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
4939,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5065,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1682,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
3000,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
3238,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2302,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
3246,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3694,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5398,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5375,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
